Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Winner List,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
14,10,6,4,"First by Feld: 1.0, 0.5, 200",Grudger,CCCCCCCCCCCCCCCCCCCCDCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,19,1,0,1,1,0,0,177,1
15,6,10,5,Grudger,"First by Feld: 1.0, 0.5, 200",CCCCCCCCCCCCCCCCCCCCCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,20,0,0,1,0,1,0,177,1
15,10,6,5,"First by Feld: 1.0, 0.5, 200",Grudger,CCCCCCCCCCCCCCCCCCCCDCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,19,1,0,1,1,0,0,177,1
16,6,10,6,Grudger,"First by Feld: 1.0, 0.5, 200",CCCCCCCCCCCCCCCCCCCCCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,20,0,0,1,0,1,0,177,1
16,10,6,6,"First by Feld: 1.0, 0.5, 200",Grudger,CCCCCCCCCCCCCCCCCCCCDCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,19,1,0,1,1,0,0,177,1
17,6,10,7,Grudger,"First by Feld: 1.0, 0.5, 200",CCCCCCCCCCCCCCCCCCCCCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,20,0,0,1,0,1,0,177,1
17,10,6,7,"First by Feld: 1.0, 0.5, 200",Grudger,CCCCCCCCCCCCCCCCCCCCDCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,19,1,0,1,1,0,0,177,1
18,6,10,8,Grudger,"First by Feld: 1.0, 0.5, 200",CCCCCCCCCCCCCCCCCCCCCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,20,0,0,1,0,1,0,177,1
18,10,6,8,"First by Feld: 1.0, 0.5, 200",Grudger,CCCCCCCCCCCCCCCCCCCCDCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,19,1,0,1,1,0,0,177,1
19,6,10,9,Grudger,"First by Feld: 1.0, 0.5, 200",CCCCCCCCCCCCCCCCCCCCCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,20,0,0,1,0,1,0,177,1
19,10,6,9,"First by Feld: 1.0, 0.5, 200",Grudger,CCCCCCCCCCCCCCCCCCCCDCDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,243,0,200,1.215,0.0,0,"[0, 0, 1]",True,21,20,1,1,178,19,1,0,1,1,0,0,177,1
20,0,1,0,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCD,595,-5,200,2.975,-0.025,0,"[0, 1, 0]",True,199,198,1,0,1,198,0,0,1,0,0,0,0,1
20,1,0,0,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCDD,600,5,200,3.0,0.025,1,"[0, 1, 0]",True,198,198,0,1,1,197,1,0,0,0,1,0,0,0
21,0,1,1,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCD,595,-5,200,2.975,-0.025,0,"[0, 1, 0]",True,199,198,1,0,1,198,0,0,1,0,0,0,0,1
21,1,0,1,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCDD,600,5,200,3.0,0.025,1,"[0, 1, 0]",True,198,198,0,1,1,197,1,0,0,0,1,0,0,0
22,0,1,2,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCD,595,-5,200,2.975,-0.025,0,"[0, 1, 0]",True,199,198,1,0,1,198,0,0,1,0,0,0,0,1
22,1,0,2,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCDD,600,5,200,3.0,0.025,1,"[0, 1, 0]",True,198,198,0,1,1,197,1,0,0,0,1,0,0,0
23,0,1,3,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCD,595,-5,200,2.975,-0.025,0,"[0, 1, 0]",True,199,198,1,0,1,198,0,0,1,0,0,0,0,1
