Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
50,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
51,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
51,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
52,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
52,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
53,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
53,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
54,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
54,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
55,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
55,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
56,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
56,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
57,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
57,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
58,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
58,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
59,Tit For Tat,First by Grofman,600,0,3.0,"[0, 0, 1]"
59,First by Grofman,Tit For Tat,600,0,3.0,"[0, 0, 1]"
60,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
60,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
61,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
61,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
62,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
62,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
63,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
63,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
64,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
64,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
65,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
65,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
66,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
66,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
67,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
67,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
68,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
68,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
69,Grudger,First by Anonymous,585,470,2.925,"[1, 0, 0]"
69,First by Anonymous,Grudger,115,-470,0.575,"[1, 0, 0]"
70,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
70,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
71,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
71,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
72,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
72,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
73,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
73,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
74,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
74,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
75,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
75,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
76,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
76,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
77,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
77,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
78,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
78,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
79,Tit For Tat,First by Shubik,600,0,3.0,"[0, 0, 1]"
79,First by Shubik,Tit For Tat,600,0,3.0,"[0, 0, 1]"
80,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
80,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
81,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
81,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
82,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
82,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
83,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
83,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
84,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
84,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
85,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
85,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
86,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
86,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
87,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
87,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
88,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
88,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
89,First by Davis: 10,First by Graaskamp: 0.05,411,135,2.055,"[1, 0, 0]"
89,First by Graaskamp: 0.05,First by Davis: 10,276,-135,1.38,"[1, 0, 0]"
90,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",595,-5,2.975,"[0, 1, 0]"
90,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
91,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",595,-5,2.975,"[0, 1, 0]"
91,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,600,5,3.0,"[0, 1, 0]"
92,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",595,-5,2.975,"[0, 1, 0]"
