P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[596, 596, 596, 596, 596, 596, 596, 596, 596, 596]","[2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98]","[596, 596, 596, 596, 596, 596, 596, 596, 596, 596]","[2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98]",596,2.98,596,2.98
"First by Tullock,First by Tullock","[5, 5, 0]","[326, 326, 326, 326, 326, 326, 326, 326, 326, 326]","[1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63, 1.63]","[311, 311, 311, 311, 311, 311, 311, 311, 311, 311]","[1.555, 1.555, 1.555, 1.555, 1.555, 1.555, 1.555, 1.555, 1.555, 1.555]",326,1.63,311,1.555
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[604, 604, 604, 604, 604, 604, 604, 604, 604, 604]","[3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02]","[594, 594, 594, 594, 594, 594, 594, 594, 594, 594]","[2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97]",604,3.02,594,2.97
"First by Tullock,Random: 0.5","[10, 0, 0]","[452, 452, 452, 452, 452, 452, 452, 452, 452, 452]","[2.26, 2.26, 2.26, 2.26, 2.26, 2.26, 2.26, 2.26, 2.26, 2.26]","[447, 447, 447, 447, 447, 447, 447, 447, 447, 447]","[2.235, 2.235, 2.235, 2.235, 2.235, 2.235, 2.235, 2.235, 2.235, 2.235]",452,2.26,447,2.235
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[604, 604, 604, 604, 604, 604, 604, 604, 604, 604]","[3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02]","[594, 594, 594, 594, 594, 594, 594, 594, 594, 594]","[2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97]",604,3.02,594,2.97
"First by Anonymous,Random: 0.5","[0, 10, 0]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429]","[2.145, 2.145, 2.145, 2.145, 2.145, 2.145, 2.145, 2.145, 2.145, 2.145]","[504, 504, 504, 504, 504, 504, 504, 504, 504, 504]","[2.52, 2.52, 2.52, 2.52, 2.52, 2.52, 2.52, 2.52, 2.52, 2.52]",429,2.145,504,2.52
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[595, 595, 595, 595, 595, 595, 595, 595, 595, 595]","[2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975]",600,3.0,595,2.975
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[596, 596, 596, 596, 596, 596, 596, 596, 596, 596]","[2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98]","[596, 596, 596, 596, 596, 596, 596, 596, 596, 596]","[2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98, 2.98]",596,2.98,596,2.98
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[595, 595, 595, 595, 595, 595, 595, 595, 595, 595]","[2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975]",600,3.0,595,2.975
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[595, 595, 595, 595, 595, 595, 595, 595, 595, 595]","[2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975]",600,3.0,595,2.975
