Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
69,First by Grofman,Tit For Tat,612,0,3.0,"[0, 0, 1]"
70,First by Shubik,First by Graaskamp: 0.05,690,265,2.7710843373493974,"[1, 0, 0]"
70,First by Graaskamp: 0.05,First by Shubik,425,-265,1.7068273092369477,"[1, 0, 0]"
71,First by Shubik,First by Graaskamp: 0.05,680,270,2.857142857142857,"[1, 0, 0]"
71,First by Graaskamp: 0.05,First by Shubik,410,-270,1.7226890756302522,"[1, 0, 0]"
72,First by Shubik,First by Graaskamp: 0.05,642,280,3.242424242424242,"[1, 0, 0]"
72,First by Graaskamp: 0.05,First by Shubik,362,-280,1.8282828282828285,"[1, 0, 0]"
73,First by Shubik,First by Graaskamp: 0.05,636,285,3.329842931937173,"[1, 0, 0]"
73,First by Graaskamp: 0.05,First by Shubik,351,-285,1.837696335078534,"[1, 0, 0]"
74,First by Shubik,First by Graaskamp: 0.05,674,270,2.905172413793104,"[1, 0, 0]"
74,First by Graaskamp: 0.05,First by Shubik,404,-270,1.7413793103448276,"[1, 0, 0]"
75,First by Shubik,First by Graaskamp: 0.05,683,265,2.822314049586777,"[1, 0, 0]"
75,First by Graaskamp: 0.05,First by Shubik,418,-265,1.7272727272727273,"[1, 0, 0]"
76,First by Shubik,First by Graaskamp: 0.05,662,275,3.0228310502283104,"[1, 0, 0]"
76,First by Graaskamp: 0.05,First by Shubik,387,-275,1.7671232876712328,"[1, 0, 0]"
77,First by Shubik,First by Graaskamp: 0.05,606,275,3.5232558139534884,"[1, 0, 0]"
77,First by Graaskamp: 0.05,First by Shubik,331,-275,1.9244186046511629,"[1, 0, 0]"
78,First by Shubik,First by Graaskamp: 0.05,699,265,2.7093023255813957,"[1, 0, 0]"
78,First by Graaskamp: 0.05,First by Shubik,434,-265,1.682170542635659,"[1, 0, 0]"
79,First by Shubik,First by Graaskamp: 0.05,636,285,3.329842931937173,"[1, 0, 0]"
