P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Graaskamp: 0.05,First by Downing","[10, 0, 0]","[510, 649, 478, 713, 784, 464, 716, 548, 690, 807]","[3.1288, 3.1505, 3.1242, 3.1549, 3.1486, 3.1141, 3.1542, 3.1314, 3.1507, 3.1523]","[450, 564, 423, 618, 684, 414, 621, 483, 600, 702]","[2.7607, 2.7379, 2.7647, 2.7345, 2.747, 2.7785, 2.7357, 2.76, 2.7397, 2.7422]",635.9,3.1409700000000003,555.9,2.75009
"Tit For Tat,First by Tullock","[0, 10, 0]","[404, 394, 347, 368, 377, 390, 330, 345, 327, 361]","[1.649, 1.6766, 1.8457, 1.7608, 1.7294, 1.6883, 1.9298, 1.8548, 1.9464, 1.7871]","[409, 399, 352, 373, 382, 395, 335, 350, 332, 366]","[1.6694, 1.6979, 1.8723, 1.7847, 1.7523, 1.71, 1.9591, 1.8817, 1.9762, 1.8119]",364.3,1.7867899999999999,369.3,1.81155
"First by Graaskamp: 0.05,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[289, 248, 216, 241, 309, 233, 281, 207, 253, 305]","[1.2731, 1.3333, 1.4026, 1.3464, 1.251, 1.3626, 1.2831, 1.4276, 1.3246, 1.2551]","[309, 268, 236, 261, 329, 253, 301, 227, 273, 325]","[1.3612, 1.4409, 1.5325, 1.4581, 1.332, 1.4795, 1.3744, 1.5655, 1.4293, 1.3374]",258.2,1.32594,278.2,1.43108
"Tit For Tat,First by Anonymous","[0, 7, 3]","[426, 532, 444, 348, 307, 564, 545, 387, 560, 533]","[2.2073, 2.1983, 2.22, 2.135, 2.1319, 2.2031, 2.1976, 2.1742, 2.2134, 2.1934]","[431, 537, 444, 353, 312, 569, 545, 392, 560, 538]","[2.2332, 2.219, 2.22, 2.1656, 2.1667, 2.2227, 2.1976, 2.2022, 2.2134, 2.214]",464.6,2.18742,468.1,2.20544
"First by Graaskamp: 0.05,First by Tullock","[0, 10, 0]","[322, 314, 309, 273, 265, 264, 283, 286, 211, 264]","[1.2432, 1.251, 1.2561, 1.3, 1.3119, 1.3134, 1.2864, 1.2825, 1.4257, 1.3134]","[332, 324, 319, 283, 275, 274, 293, 296, 221, 274]","[1.2819, 1.2908, 1.2967, 1.3476, 1.3614, 1.3632, 1.3318, 1.3274, 1.4932, 1.3632]",279.1,1.29836,289.1,1.34572
"Tit For Tat,Random: 0.5","[0, 6, 4]","[403, 574, 432, 524, 526, 587, 441, 324, 582, 346]","[2.3029, 2.2422, 2.2618, 2.2882, 2.2771, 2.2577, 2.2615, 2.2817, 2.2558, 2.2914]","[403, 579, 437, 529, 531, 587, 446, 329, 582, 346]","[2.3029, 2.2617, 2.288, 2.31, 2.2987, 2.2577, 2.2872, 2.3169, 2.2558, 2.2914]",473.9,2.27203,476.9,2.28703
"First by Graaskamp: 0.05,Random: 0.5","[10, 0, 0]","[748, 576, 539, 541, 615, 656, 459, 564, 563, 576]","[2.9449, 2.9091, 2.9135, 2.893, 2.8873, 2.9027, 2.7818, 2.9072, 2.9171, 2.9091]","[228, 201, 194, 196, 210, 216, 189, 199, 198, 201]","[0.8976, 1.0152, 1.0486, 1.0481, 0.9859, 0.9558, 1.1455, 1.0258, 1.0259, 1.0152]",583.7,2.89657,203.2,1.01636
"First by Tideman and Chieruzzi: (D, D),First by Tideman and Chieruzzi: (D, D)","[0, 0, 10]","[422, 548, 752, 518, 662, 677, 563, 620, 647, 518]","[2.9718, 2.9783, 2.9841, 2.977, 2.982, 2.9824, 2.9788, 2.9808, 2.9816, 2.977]","[422, 548, 752, 518, 662, 677, 563, 620, 647, 518]","[2.9718, 2.9783, 2.9841, 2.977, 2.982, 2.9824, 2.9788, 2.9808, 2.9816, 2.977]",592.7,2.97938,592.7,2.97938
"First by Downing,First by Joss: 0.9","[0, 10, 0]","[681, 558, 645, 651, 612, 630, 483, 696, 402, 624]","[2.724, 2.7087, 2.7215, 2.7238, 2.708, 2.7155, 2.6833, 2.7188, 2.68, 2.713]","[791, 653, 750, 756, 717, 735, 573, 811, 477, 729]","[3.164, 3.1699, 3.1646, 3.1632, 3.1726, 3.1681, 3.1833, 3.168, 3.18, 3.1696]",598.2,2.70966,699.2,3.17033
"First by Tideman and Chieruzzi: (D, D),First by Nydegger","[10, 0, 0]","[487, 751, 514, 691, 448, 778, 586, 571, 541, 442]","[3.0248, 3.0161, 3.0235, 3.0175, 3.027, 3.0155, 3.0206, 3.0212, 3.0223, 3.0274]","[477, 741, 504, 681, 438, 768, 576, 561, 531, 432]","[2.9627, 2.9759, 2.9647, 2.9738, 2.9595, 2.9767, 2.9691, 2.9683, 2.9665, 2.9589]",580.9,3.0215899999999998,570.9,2.96761
